"Date","Price","Open","High","Low","Vol.","Change %"
"17-11-2021","661.80","661.45","668.00","658.00","4.43M","0.05%"
"16-11-2021","661.45","658.40","668.75","654.65","5.66M","0.39%"
"15-11-2021","658.90","661.55","666.00","657.15","4.72M","-0.17%"
"12-11-2021","660.05","648.00","662.50","645.80","6.06M","2.84%"
"11-11-2021","641.80","649.75","649.75","636.80","6.03M","-1.65%"
"10-11-2021","652.60","655.90","659.00","651.55","4.05M","-0.89%"
"09-11-2021","658.45","663.10","666.25","656.70","4.14M","0.02%"
"08-11-2021","658.35","652.95","661.00","647.50","4.75M","0.71%"
"04-11-2021","653.70","655.00","657.65","647.40","782.91K","0.18%"
"03-11-2021","652.50","659.40","661.85","650.20","3.44M","-0.20%"
"02-11-2021","653.80","657.00","661.00","651.10","4.04M","-0.25%"
"01-11-2021","655.45","651.10","656.95","647.50","4.40M","1.35%"
"29-10-2021","646.75","658.25","659.40","644.25","6.76M","-1.55%"
"28-10-2021","656.90","671.00","671.60","655.00","5.18M","-2.12%"
"27-10-2021","671.10","668.15","674.55","663.45","6.32M","0.44%"
"26-10-2021","668.15","671.05","678.80","665.00","6.10M","0.07%"
"25-10-2021","667.70","682.75","684.20","660.80","8.81M","-2.15%"
"22-10-2021","682.40","701.75","705.50","678.25","5.38M","-2.00%"
"21-10-2021","696.30","708.95","709.00","681.70","7.96M","-0.80%"
"20-10-2021","701.95","713.60","722.75","695.75","8.05M","-1.35%"
"19-10-2021","711.55","717.10","729.95","708.00","10.93M","0.25%"
"18-10-2021","709.75","719.00","720.80","702.40","10.60M","0.21%"
"14-10-2021","708.25","697.00","739.85","695.00","59.19M","5.30%"
"13-10-2021","672.60","665.00","674.70","656.00","9.46M","2.05%"
"12-10-2021","659.10","652.00","662.40","642.55","9.34M","0.97%"
"11-10-2021","652.80","648.95","666.30","635.00","10.21M","-1.26%"
"08-10-2021","661.15","646.15","667.55","645.00","11.05M","2.83%"
"07-10-2021","642.95","639.00","648.55","636.90","3.72M","1.13%"
"06-10-2021","635.75","650.40","650.45","634.40","4.84M","-1.72%"
"05-10-2021","646.85","636.45","649.50","634.05","5.46M","0.90%"
"04-10-2021","641.05","639.90","643.60","635.95","5.25M","0.75%"
"01-10-2021","636.25","634.80","639.75","630.20","4.21M","0.34%"
"30-09-2021","634.10","638.75","646.75","632.55","6.01M","-1.04%"
"29-09-2021","640.75","629.95","646.50","627.35","8.84M","0.18%"
"28-09-2021","639.60","653.90","653.90","635.25","8.11M","-2.19%"
"27-09-2021","653.90","678.05","678.35","651.00","8.40M","-3.34%"
"24-09-2021","676.50","680.50","699.15","675.00","12.13M","0.33%"
"23-09-2021","674.30","672.90","677.00","671.40","3.23M","0.92%"
"22-09-2021","668.15","669.00","674.50","663.00","4.79M","0.08%"
"21-09-2021","667.60","660.50","669.00","657.10","3.68M","0.77%"
"20-09-2021","662.50","657.75","670.50","653.40","4.55M","-0.41%"
"17-09-2021","665.25","671.40","674.40","662.75","5.41M","-0.39%"
"16-09-2021","667.85","679.75","680.75","665.00","4.66M","-0.92%"
"15-09-2021","674.05","674.00","680.55","670.00","4.15M","0.09%"
"14-09-2021","673.45","671.00","675.70","670.00","3.66M","0.40%"
"13-09-2021","670.75","662.35","671.85","657.85","5.59M","1.27%"
"09-09-2021","662.35","660.90","664.55","654.00","5.81M","0.02%"
"08-09-2021","662.20","675.40","675.40","660.00","6.72M","-1.79%"
"07-09-2021","674.25","690.00","690.00","672.75","6.41M","-1.78%"
"06-09-2021","686.45","656.65","688.70","656.65","12.34M","4.79%"
"03-09-2021","655.10","653.00","656.70","649.50","3.77M","0.56%"
"02-09-2021","651.45","645.00","657.00","640.75","4.54M","1.46%"
"01-09-2021","642.05","643.80","647.35","635.25","4.73M","0.17%"
"31-08-2021","640.95","634.60","642.55","628.90","7.80M","1.34%"
"30-08-2021","632.45","635.95","639.50","630.55","4.37M","-0.39%"
"27-08-2021","634.95","629.50","636.00","625.30","4.37M","0.95%"
"26-08-2021","628.95","632.20","638.50","626.00","4.21M","-0.43%"
"25-08-2021","631.65","635.00","642.80","629.55","6.41M","-0.30%"
"24-08-2021","633.55","636.00","636.00","624.10","4.48M","0.75%"
"23-08-2021","628.85","626.00","636.95","623.50","7.04M","1.42%"
"20-08-2021","620.05","622.50","631.95","618.00","6.17M","-1.49%"
"18-08-2021","629.40","635.75","639.20","624.60","6.92M","-0.87%"
"17-08-2021","634.90","613.75","637.05","611.20","11.82M","3.40%"
"16-08-2021","614.05","616.10","620.90","610.50","3.57M","-0.24%"
"13-08-2021","615.50","606.00","620.45","606.00","8.36M","1.59%"
"12-08-2021","605.85","602.00","608.90","600.65","3.95M","0.77%"
"11-08-2021","601.25","601.90","606.50","598.45","4.28M","-0.43%"
"10-08-2021","603.85","598.40","608.95","593.10","7.03M","1.18%"
"09-08-2021","596.80","600.00","606.00","595.50","4.65M","-0.20%"
"06-08-2021","598.00","603.75","606.40","596.30","5.27M","-0.48%"
"05-08-2021","600.90","597.50","614.50","597.50","11.29M","0.69%"
"04-08-2021","596.80","603.50","604.00","594.30","4.51M","-0.43%"
"03-08-2021","599.40","604.00","604.00","594.15","5.17M","1.21%"
"02-08-2021","592.25","588.20","595.40","582.25","4.62M","0.87%"
"30-07-2021","587.15","588.85","593.00","585.00","3.18M","-0.56%"
"29-07-2021","590.45","593.60","598.00","587.90","5.83M","-0.25%"
"28-07-2021","591.95","590.95","593.35","583.00","4.57M","0.08%"
"27-07-2021","591.45","588.90","594.65","584.15","3.98M","0.17%"
"26-07-2021","590.45","600.10","600.50","588.25","6.10M","-1.45%"
"23-07-2021","599.15","586.50","601.80","583.70","14.06M","2.56%"
"22-07-2021","584.20","577.10","585.00","571.00","12.04M","2.83%"
"20-07-2021","568.10","575.70","578.15","561.55","10.52M","-0.99%"
"19-07-2021","573.80","572.55","584.00","570.00","10.86M","-0.68%"
"16-07-2021","577.75","580.00","589.25","568.30","36.91M","0.32%"
"15-07-2021","575.90","561.00","579.65","559.00","31.07M","2.53%"
"14-07-2021","561.70","526.25","563.30","525.60","29.35M","7.02%"
"13-07-2021","524.85","528.00","529.50","522.60","4.17M","-0.19%"
"12-07-2021","525.85","530.75","532.15","523.20","3.87M","0.01%"
"09-07-2021","525.80","527.40","530.95","523.25","5.72M","-0.98%"
"08-07-2021","531.00","533.90","536.95","528.00","4.57M","-0.22%"
"07-07-2021","532.15","534.05","536.40","525.10","5.38M","-0.08%"
